    DAY ,      Rainfall ,  Runoff + Excess  , Crop Uptake ,   Soil Moisture , Percolation to groundwater 
2022-06-01,       0,              0 ,                0,          0,                       0
2022-06-02,       0,              0 ,                0,          0,                       0
2022-06-03,       0,              0 ,                0,          0,                       0
2022-06-04,       0,              0 ,                0,          0,                       0
2022-06-05,       0,              0 ,                0,          0,                       0
2022-06-06,       0,              0 ,                0,          0,                       0
2022-06-07,       0,              0 ,                0,          0,                       0
2022-06-08,       5.25,              1.05 ,                4,          0.166667,                       0.0333333
2022-06-09,       2.25,              0.45 ,                1.96667,          0,                       0
2022-06-10,       0,              0 ,                0,          0,                       0
2022-06-11,       0,              0 ,                0,          0,                       0
2022-06-12,       8,              1.6 ,                4,          2,                       0.4
2022-06-13,       27,              8.1 ,                4,          14.0833,                       2.81667
2022-06-14,       0,              0 ,                4,          8.40278,                       1.68056
2022-06-15,       0,              0 ,                4,          3.66898,                       0.733796
2022-06-16,       0,              0 ,                3.66898,          0,                       0
2022-06-17,       0.75,              0.15 ,                0.6,          0,                       0
2022-06-18,       0,              0 ,                0,          0,                       0
2022-06-19,       0.75,              0.15 ,                0.6,          0,                       0
2022-06-20,       1.25,              0.25 ,                1,          0,                       0
2022-06-21,       6.5,              1.3 ,                4,          1,                       0.2
2022-06-22,       43.5,              13.05 ,                4,          22.875,                       4.575
2022-06-23,       1,              0.2 ,                4,          16.3958,                       3.27917
2022-06-24,       6.75,              1.35 ,                4,          14.8299,                       2.96597
2022-06-25,       0.25,              0.05 ,                4,          9.19155,                       1.83831
2022-06-26,       0,              0 ,                4,          4.32629,                       0.865258
2022-06-27,       16.75,              3.35 ,                4,          11.4386,                       2.28771
2022-06-28,       0.25,              0.05 ,                4,          6.36548,                       1.2731
2022-06-29,       0,              0 ,                4,          1.97123,                       0.394246
2022-06-30,       0.5,              0.1 ,                2.37123,          0,                       0
2022-07-01,       1.75,              0.35 ,                1.4,          0,                       0
2022-07-02,       0,              0 ,                0,          0,                       0
2022-07-03,       0,              0 ,                0,          0,                       0
2022-07-04,       2,              0.4 ,                1.6,          0,                       0
2022-07-05,       1.25,              0.25 ,                1,          0,                       0
2022-07-06,       0,              0 ,                0,          0,                       0
2022-07-07,       10.25,              2.05 ,                4,          3.5,                       0.7
2022-07-08,       22.25,              4.45 ,                4,          14.4167,                       2.88333
2022-07-09,       7.75,              1.55 ,                4,          13.8472,                       2.76944
2022-07-10,       23.25,              4.65 ,                4,          23.706,                       4.7412
2022-07-11,       16,              3.2 ,                4,          27.0883,                       5.41767
2022-07-12,       1.5,              0.3 ,                4,          20.2403,                       4.04806
2022-07-13,       9.5,              1.9 ,                4,          19.8669,                       3.97338
2022-07-14,       1,              0.2 ,                4,          13.8891,                       2.77782
2022-07-15,       2.25,              0.45 ,                4,          9.74091,                       1.94818
2022-07-16,       0,              0 ,                4,          4.78409,                       0.956818
2022-07-17,       14.25,              2.85 ,                4,          10.1534,                       2.03068
2022-07-18,       12.75,              2.55 ,                4,          13.6278,                       2.72557
2022-07-19,       11.75,              2.35 ,                4,          15.8565,                       3.17131
2022-07-20,       1.75,              0.35 ,                4,          11.0471,                       2.20942
2022-07-21,       0.25,              0.05 ,                4,          6.03926,                       1.20785
2022-07-22,       0.5,              0.1 ,                4,          2.03271,                       0.406543
2022-07-23,       3.25,              0.65 ,                4,          0.52726,                       0.105452
2022-07-24,       6.25,              1.25 ,                4,          1.27272,                       0.254543
2022-07-25,       0.5,              0.1 ,                1.67272,          0,                       0
2022-07-26,       3,              0.6 ,                2.4,          0,                       0
2022-07-27,       33.25,              9.975 ,                4,          16.0625,                       3.2125
2022-07-28,       0,              0 ,                4,          10.0521,                       2.01042
2022-07-29,       1.5,              0.3 ,                4,          6.0434,                       1.20868
2022-07-30,       0,              0 ,                4,          1.70283,                       0.340567
2022-07-31,       0,              0 ,                1.70283,          0,                       0
2022-08-01,       0,              0 ,                0,          0,                       0
2022-08-02,       0,              0 ,                0,          0,                       0
2022-08-03,       0,              0 ,                0,          0,                       0
2022-08-04,       6.75,              1.35 ,                4,          1.16667,                       0.233333
2022-08-05,       0.5,              0.1 ,                1.56667,          0,                       0
2022-08-06,       0,              0 ,                0,          0,                       0
2022-08-07,       0,              0 ,                0,          0,                       0
2022-08-08,       26,              7.8 ,                4,          11.8333,                       2.36667
2022-08-09,       0.5,              0.1 ,                4,          6.86111,                       1.37222
2022-08-10,       3,              0.6 ,                4,          4.38426,                       0.876852
2022-08-11,       0.25,              0.05 ,                4,          0.486883,                       0.0973765
2022-08-12,       1.25,              0.25 ,                1.48688,          0,                       0
2022-08-13,       0,              0 ,                0,          0,                       0
2022-08-14,       0,              0 ,                0,          0,                       0
2022-08-15,       4.25,              0.85 ,                3.4,          0,                       0
2022-08-16,       0,              0 ,                0,          0,                       0
2022-08-17,       0,              0 ,                0,          0,                       0
2022-08-18,       1.25,              0.25 ,                1,          0,                       0
2022-08-19,       0,              0 ,                0,          0,                       0
2022-08-20,       0,              0 ,                0,          0,                       0
2022-08-21,       0,              0 ,                0,          0,                       0
2022-08-22,       2,              0.4 ,                1.6,          0,                       0
2022-08-23,       0,              0 ,                0,          0,                       0
2022-08-24,       0,              0 ,                0,          0,                       0
2022-08-25,       1.25,              0.25 ,                1,          0,                       0
