    DAY ,      Rainfall ,  Runoff + Excess  , Crop Uptake ,   Soil Moisture , Percolation to groundwater 
2022-06-01,       0,              0 ,                0,          0,                       0
2022-06-02,       0,              0 ,                0,          0,                       0
2022-06-03,       0,              0 ,                0,          0,                       0
2022-06-04,       0,              0 ,                0,          0,                       0
2022-06-05,       0,              0 ,                0,          0,                       0
2022-06-06,       0,              0 ,                0,          0,                       0
2022-06-07,       0,              0 ,                0,          0,                       0
2022-06-08,       5.25,              1.05 ,                4,          0.142857,                       0.0571428
2022-06-09,       2.25,              0.45 ,                1.94286,          0,                       0
2022-06-10,       0,              0 ,                0,          0,                       0
2022-06-11,       0,              0 ,                0,          0,                       0
2022-06-12,       8,              1.6 ,                4,          1.71429,                       0.685714
2022-06-13,       27,              8.1 ,                4,          11.8673,                       4.74694
2022-06-14,       0,              0 ,                4,          5.61953,                       2.24781
2022-06-15,       0,              0 ,                4,          1.15681,                       0.462724
2022-06-16,       0,              0 ,                1.15681,          0,                       0
2022-06-17,       0.75,              0.15 ,                0.6,          0,                       0
2022-06-18,       0,              0 ,                0,          0,                       0
2022-06-19,       0.75,              0.15 ,                0.6,          0,                       0
2022-06-20,       1.25,              0.25 ,                1,          0,                       0
2022-06-21,       6.5,              1.3 ,                4,          0.857143,                       0.342857
2022-06-22,       43.5,              13.05 ,                4,          19.5051,                       7.80204
2022-06-23,       1,              0.2 ,                4,          11.6465,                       4.6586
2022-06-24,       6.75,              1.35 ,                4,          9.31893,                       3.72757
2022-06-25,       0.25,              0.05 ,                4,          3.94209,                       1.57684
2022-06-26,       0,              0 ,                3.94209,          0,                       0
2022-06-27,       16.75,              3.35 ,                4,          6.71429,                       2.68571
2022-06-28,       0.25,              0.05 ,                4,          2.08163,                       0.832653
2022-06-29,       0,              0 ,                2.08163,          0,                       0
2022-06-30,       0.5,              0.1 ,                0.4,          0,                       0
2022-07-01,       1.75,              0.35 ,                1.4,          0,                       0
2022-07-02,       0,              0 ,                0,          0,                       0
2022-07-03,       0,              0 ,                0,          0,                       0
2022-07-04,       2,              0.4 ,                1.6,          0,                       0
2022-07-05,       1.25,              0.25 ,                1,          0,                       0
2022-07-06,       0,              0 ,                0,          0,                       0
2022-07-07,       10.25,              2.05 ,                4,          3,                       1.2
2022-07-08,       22.25,              4.45 ,                4,          12,                       4.8
2022-07-09,       7.75,              1.55 ,                4,          10.1429,                       4.05714
2022-07-10,       23.25,              4.65 ,                4,          17.6735,                       7.06939
2022-07-11,       16,              3.2 ,                4,          18.9096,                       7.56385
2022-07-12,       1.5,              0.3 ,                4,          11.5069,                       4.60275
2022-07-13,       9.5,              1.9 ,                4,          10.7906,                       4.31625
2022-07-14,       1,              0.2 ,                4,          5.42188,                       2.16875
2022-07-15,       2.25,              0.45 ,                4,          2.30134,                       0.920536
2022-07-16,       0,              0 ,                2.30134,          0,                       0
2022-07-17,       14.25,              2.85 ,                4,          5.28571,                       2.11429
2022-07-18,       12.75,              2.55 ,                4,          8.20408,                       3.28163
2022-07-19,       11.75,              2.35 ,                4,          9.7172,                       3.88688
2022-07-20,       1.75,              0.35 ,                4,          5.08371,                       2.03349
2022-07-21,       0.25,              0.05 ,                4,          0.916939,                       0.366776
2022-07-22,       0.5,              0.1 ,                1.31694,          0,                       0
2022-07-23,       3.25,              0.65 ,                2.6,          0,                       0
2022-07-24,       6.25,              1.25 ,                4,          0.714286,                       0.285714
2022-07-25,       0.5,              0.1 ,                1.11429,          0,                       0
2022-07-26,       3,              0.6 ,                2.4,          0,                       0
2022-07-27,       33.25,              9.975 ,                4,          13.7679,                       5.50714
2022-07-28,       0,              0 ,                4,          6.97704,                       2.79082
2022-07-29,       1.5,              0.3 ,                4,          2.9836,                       1.19344
2022-07-30,       0,              0 ,                2.9836,          0,                       0
2022-07-31,       0,              0 ,                0,          0,                       0
2022-08-01,       0,              0 ,                0,          0,                       0
2022-08-02,       0,              0 ,                0,          0,                       0
2022-08-03,       0,              0 ,                0,          0,                       0
2022-08-04,       6.75,              1.35 ,                4,          1,                       0.4
2022-08-05,       0.5,              0.1 ,                1.4,          0,                       0
2022-08-06,       0,              0 ,                0,          0,                       0
2022-08-07,       0,              0 ,                0,          0,                       0
2022-08-08,       26,              7.8 ,                4,          10.1429,                       4.05714
2022-08-09,       0.5,              0.1 ,                4,          4.67347,                       1.86939
2022-08-10,       3,              0.6 ,                4,          2.19534,                       0.878134
2022-08-11,       0.25,              0.05 ,                2.39534,          0,                       0
2022-08-12,       1.25,              0.25 ,                1,          0,                       0
2022-08-13,       0,              0 ,                0,          0,                       0
2022-08-14,       0,              0 ,                0,          0,                       0
2022-08-15,       4.25,              0.85 ,                3.4,          0,                       0
2022-08-16,       0,              0 ,                0,          0,                       0
2022-08-17,       0,              0 ,                0,          0,                       0
2022-08-18,       1.25,              0.25 ,                1,          0,                       0
2022-08-19,       0,              0 ,                0,          0,                       0
2022-08-20,       0,              0 ,                0,          0,                       0
2022-08-21,       0,              0 ,                0,          0,                       0
2022-08-22,       2,              0.4 ,                1.6,          0,                       0
2022-08-23,       0,              0 ,                0,          0,                       0
2022-08-24,       0,              0 ,                0,          0,                       0
2022-08-25,       1.25,              0.25 ,                1,          0,                       0
2022-08-26,       0,              0 ,                0,          0,                       0
